letter,codepoint,block,name,0,1,2,3,4,5,6,average,standard dev.,ratings,tier
ʘ,664,IPA Extensions,ʘ (LATIN LETTER BILABIAL CLICK),1,0,4,12,15,23,32,4.72414,1.31794,87,A
ɤ,612,IPA Extensions,ɤ (LATIN SMALL LETTER RAMS HORN) ,3,4,4,5,19,26,41,4.69608,1.55932,102,A
ᴥ,7461,Phonetic Extensions,ᴥ (LATIN LETTER AIN),4,8,3,5,14,13,53,4.68000,1.83060,100,A
ö,246,Latin-1 Supplement,ö (LATIN SMALL LETTER O WITH DIAERESIS) ,2,4,3,7,18,11,37,4.63415,1.62171,82,A
Þ,222,Latin-1 Supplement,Þ (LATIN CAPITAL LETTER THORN) ,2,4,4,14,15,27,36,4.55882,1.53232,102,A
ɸ,632,IPA Extensions,ɸ (LATIN SMALL LETTER PHI) ,1,1,5,6,28,28,22,4.53846,1.24996,91,A
ß,223,Latin-1 Supplement,ß (LATIN SMALL LETTER SHARP S) ,1,1,6,13,19,22,29,4.52747,1.39316,91,A
Ʃ,425,Latin Extended-B,Ʃ (LATIN CAPITAL LETTER ESH),4,0,9,7,23,17,35,4.48421,1.60361,95,A
ʃ,643,IPA Extensions,ʃ (LATIN SMALL LETTER ESH),2,3,6,16,15,26,34,4.48039,1.53333,102,A
ꝝ,42845,Latin Extended-D,ꝝ (LATIN SMALL LETTER RUM ROTUNDA),3,2,5,7,21,23,27,4.47727,1.53111,88,A
ʔ,660,IPA Extensions,ʔ (LATIN LETTER GLOTTAL STOP),2,2,4,13,17,19,26,4.43373,1.50765,83,A
Æ,198,Latin-1 Supplement,Æ (LATIN CAPITAL LETTER AE) ,6,6,5,7,21,17,41,4.38835,1.83235,103,A-
æ,230,Latin-1 Supplement,æ (LATIN SMALL LETTER AE) ,4,2,10,11,18,22,35,4.38235,1.66528,102,A-
ə,601,IPA Extensions,ə (LATIN SMALL LETTER SCHWA),2,6,5,9,23,18,31,4.37234,1.61966,94,A-
Ꝏ,42830,Latin Extended-D,Ꝏ (LATIN CAPITAL LETTER OO),4,3,5,11,14,14,31,4.36585,1.75339,82,A-
ꞷ,42935,Latin Extended-D,ꞷ (LATIN SMALL LETTER OMEGA),4,1,2,14,16,22,21,4.33750,1.55851,80,A-
Ꞷ,42934,Latin Extended-D,Ꞷ (LATIN CAPITAL LETTER OMEGA),3,3,6,13,11,22,26,4.33333,1.65983,84,A-
ʬ,684,IPA Extensions,ʬ (LATIN LETTER BILABIAL PERCUSSIVE),6,3,6,7,10,19,30,4.33333,1.88414,81,A-
ø,248,Latin-1 Supplement,ø (LATIN SMALL LETTER O WITH STROKE) ,0,4,6,14,21,26,21,4.32609,1.38365,92,A-
ʒ,658,IPA Extensions,ʒ (LATIN SMALL LETTER EZH),2,3,5,16,15,17,26,4.30952,1.58286,84,A-
x,120,Basic Latin,x (LATIN SMALL LETTER X) ,2,4,4,10,30,19,23,4.29348,1.47162,92,A-
ᵹ,7545,Phonetic Extensions,ᵹ (LATIN SMALL LETTER INSULAR G) ,1,6,6,11,24,17,26,4.26374,1.56230,91,A-
ʤ,676,IPA Extensions,ʤ (LATIN SMALL LETTER DEZH DIGRAPH) ,2,6,7,11,15,15,29,4.25882,1.72622,85,A-
Ʒ,439,Latin Extended-B,Ʒ (LATIN CAPITAL LETTER EZH),2,4,4,16,19,22,22,4.24719,1.52465,89,A-
ʊ,650,IPA Extensions,ʊ (LATIN SMALL LETTER UPSILON) ,3,5,7,13,21,23,27,4.23232,1.62775,99,A-
ɣ,611,IPA Extensions,ɣ (LATIN SMALL LETTER GAMMA) ,2,2,9,11,28,21,22,4.23158,1.46195,95,A-
Ö,214,Latin-1 Supplement,Ö (LATIN CAPITAL LETTER O WITH DIAERESIS) ,5,1,7,13,15,15,27,4.22892,1.74136,83,A-
Ƿ,503,Latin Extended-B,Ƿ (LATIN CAPITAL LETTER WYNN) ,1,2,4,22,18,22,19,4.22727,1.37905,88,A-
Ꝝ,42844,Latin Extended-D,Ꝝ (LATIN CAPITAL LETTER RUM ROTUNDA),4,5,8,6,18,24,24,4.21348,1.72858,89,A-
ƺ,442,Latin Extended-B,ƺ (LATIN SMALL LETTER EZH WITH TAIL) ,4,4,11,8,20,22,28,4.20619,1.71354,97,A-
Ʊ,433,Latin Extended-B,Ʊ (LATIN CAPITAL LETTER UPSILON) ,2,4,7,11,18,20,21,4.20482,1.59082,83,A-
Ꜿ,42814,Latin Extended-D,Ꜿ (LATIN CAPITAL LETTER REVERSED C WITH DOT),3,4,5,11,19,21,20,4.19277,1.61138,83,A-
Ø,216,Latin-1 Supplement,Ø (LATIN CAPITAL LETTER O WITH STROKE) ,2,5,3,17,22,17,23,4.19101,1.55122,89,A-
Ɂ,577,Latin Extended-B,Ɂ (LATIN CAPITAL LETTER GLOTTAL STOP),0,5,10,10,18,21,20,4.19048,1.52471,84,A-
ʓ,659,IPA Extensions,ʓ (LATIN SMALL LETTER EZH WITH CURL) ,2,6,5,19,14,11,30,4.18391,1.71538,87,A-
Ʌ,581,Latin Extended-B,Ʌ (LATIN CAPITAL LETTER TURNED V) ,3,2,4,17,14,18,19,4.16883,1.58449,77,A-
ŋ,331,Latin Extended-A,ŋ (LATIN SMALL LETTER ENG) ,1,6,7,15,24,11,26,4.13333,1.59494,90,A-
ɷ,631,IPA Extensions,ɷ (LATIN SMALL LETTER CLOSED OMEGA) ,2,7,8,10,23,14,26,4.12222,1.68821,90,A-
Ɐ,11375,Latin Extended-C,Ɐ (LATIN CAPITAL LETTER TURNED A),1,3,11,9,25,11,21,4.11111,1.54110,81,A-
e,101,Basic Latin,e (LATIN SMALL LETTER E) ,1,3,7,31,14,23,23,4.10784,1.46177,102,A-
ȣ,547,Latin Extended-B,ȣ (LATIN SMALL LETTER OU),1,8,10,10,15,13,27,4.10714,1.76320,84,A-
ʭ,685,IPA Extensions,ʭ (LATIN LETTER BIDENTAL PERCUSSIVE),4,9,6,15,13,14,33,4.10638,1.88068,94,A-
